,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
0,2pn8dNVSpYnAtlKFC8Q0DJ,0.311,0.607,1,-6.578,1,0.11,0.0174,0,0.131,0.286,188.7,168086,4,ROSÉ,On The Ground,,1,4
1,0LweQRsfJ3pRAJJFy6DrR1,0.776,0.692,2,-3.834,1,0.0555,0.0075,0,0.0588,0.543,95.972,198174,4,Jessi,What Type of X,https://p.scdn.co/mp3-preview/917623a4638d1005060f2dba1c2cb0cd72f8514b?cid=1f08b74262ce473390052367a2428089,1,4
2,2VJOpzv5sBpstCX9venJr5,0.691,0.878,1,-3.902,1,0.0934,0.0303,0,0.193,0.559,124.935,197694,4,Brave Girls,Rollin',https://p.scdn.co/mp3-preview/580e1a10362d335fbb2a7f1d0f1d7d1221915444?cid=1f08b74262ce473390052367a2428089,1,4
3,5xrtzzzikpG3BLbo4q1Yul,0.738,0.89,2,-2.275,0,0.0748,0.0895,1.89e-06,0.213,0.75,114.942,214253,4,IU,LILAC,https://p.scdn.co/mp3-preview/c319bedc9815f9b0defe289b07e581602e577781?cid=1f08b74262ce473390052367a2428089,1,4
4,5EnOA6tQsyPY7PCdS4A7O1,0.73,0.943,0,-1.929,0,0.0937,0.0719,0,0.227,0.705,108.038,195173,4,LUNARSOLAR,BOM BI DI BOM,https://p.scdn.co/mp3-preview/36c8e22a7aa8510f9d451c54fa2c1af7660e6191?cid=1f08b74262ce473390052367a2428089,1,4
5,2y3RsLPUpPcMUdzluiJtNE,0.667,0.916,6,-3.509,0,0.113,0.0225,4.3e-06,0.0887,0.774,109.946,221520,4,SuperM,We DO,https://p.scdn.co/mp3-preview/5e0090a8bc6795da53eef4ed32b5e2df78145c49?cid=1f08b74262ce473390052367a2428089,1,4
6,0BBUGRUURDjwcXmDS3kQkN,0.735,0.847,2,-2.689,1,0.0681,0.0475,0,0.122,0.332,110.06,178213,4,SHINee,Atlantis,https://p.scdn.co/mp3-preview/27aaff58cc8712fa70d408fc82a85a4e72c45b6f?cid=1f08b74262ce473390052367a2428089,1,4
7,4Ws314Ylb27BVsvlZOy30C,0.654,0.707,6,-5.661,1,0.0664,0.00559,0,0.0873,0.448,127.97,194765,4,BLACKPINK,Lovesick Girls,,1,4
8,3apeXzypBMnUfYcZYNX6DH,0.657,0.88,10,-3.672,0,0.102,0.121,0,0.463,0.769,150.084,205493,4,TWICE,I CAN'T STOP ME,https://p.scdn.co/mp3-preview/e73a3a05d35e375cb07ec346bb87b895c73b3bbb?cid=1f08b74262ce473390052367a2428089,1,4
9,1t2qYCAjUAoGfeFeoBlK51,0.52,0.915,2,-2.862,1,0.103,0.0618,0.000946,0.0856,0.5,90.069,174933,4,aespa,Black Mamba,https://p.scdn.co/mp3-preview/1352b3bac8e1afc1f7457a94702da3014d9bdfde?cid=1f08b74262ce473390052367a2428089,1,4
