id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,binary_label,multiclass_label
1eCTQhsNA31FcwyNcJcf86,0.702,0.616,6,-4.903,1,0.326,0.686,0,0.145,0.507,80.482,156188,4,-1,1
7CFfqRW50ffULvBv7lfIIg,0.797,0.755,2,-5.393,1,0.0293,0.331,2.26e-06,0.124,0.411,129.955,135878,4,-1,1
7vRriwrloYVaoAe3a9wJHe,0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,251034,4,-1,1
43zdsphuZLzwA9k4DJhU0I,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,-1,1
5dl8x4xLEzZC0f927WBTUG,0.719,0.369,1,-9.12,0,0.193,0.472,0.0572,0.102,0.364,150.076,182400,4,-1,1
1bd4heB3yXc5iFTPoOMPuo,0.589,0.364,1,-8.079,0,0.0419,0.595,0,0.334,0.21,104.991,187629,4,-1,1
0y1TguY6ZTUD0g29Wg8h04,0.694,0.576,11,-7.064,1,0.0275,0.501,2.35e-06,0.264,0.445,117.997,150127,4,-1,1
6MFZUAPmeiF9cm8tSspED7,0.567,0.494,10,-12.093,1,0.0544,0.569,6.63e-05,0.33,0.42,149.839,200853,4,-1,1
58Mh6zmqSo9IvysPAXnG0h,0.627,0.575,4,-7.38,1,0.232,0.78,0,0.336,0.494,78.546,183451,4,-1,1
7AFASza1mXqntmGtbxXprO,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,121887,4,-1,1
2nC3QhMI9reBIOWutbU3Tj,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,201084,4,-1,1
6k9JEQKIHCKjgrOVxdLMaW,0.718,0.564,8,-7.803,1,0.254,0.708,0,0.128,0.831,83.149,117339,4,-1,1
4VpCLDwfdVvyIdA1VKtPEs,0.749,0.409,9,-9.263,1,0.0395,0.13,0.00222,0.152,0.486,122.979,168951,4,-1,1
5qwfWcdl8h0EhhSVTTH8gN,0.741,0.553,2,-9.026,1,0.239,0.859,0,0.133,0.738,74.962,153600,4,-1,1
7ivYWXqrPLs66YwakDuSim,0.748,0.465,5,-8.163,1,0.0869,0.399,0,0.294,0.412,119.872,182679,4,-1,1
2YHqjkv93j4cg51bl7iGMP,0.735,0.336,9,-12.483,1,0.0812,0.171,0.000332,0.118,0.557,117.312,190387,4,-1,1
4YMc3A256xFBS0xcT77Qce,0.607,0.851,4,-7.754,0,0.0364,0.623,0.351,0.107,0.479,168.049,188571,4,-1,1
0mKQl9k1EErmEPk11aWZEl,0.696,0.106,2,-16.185,1,0.0458,0.967,0,0.292,0.35,124.168,196277,4,-1,1
5pwlpGaWZTC0E60my0C45i,0.537,0.494,2,-9.463,1,0.0356,0.67,4.46e-06,0.182,0.238,102.679,240587,4,-1,1
7238V5H9Yk5riEWJlmLbIZ,0.792,0.408,0,-9.386,1,0.0769,0.751,0.000557,0.0817,0.294,74.997,154064,4,-1,1
1Juo9g0Rjxo6fxOmr8N3wV,0.593,0.746,8,-6.483,1,0.0674,0.321,0,0.0684,0.413,159.955,158051,4,-1,1
0I5pWm8Sxr9oz1R7yyqiSz,0.678,0.457,0,-7.539,1,0.0476,0.401,0.000312,0.667,0.58,82.02,195000,4,-1,1
4iVMoqS3oOXSiEAx0l2BWj,0.8,0.302,9,-10.119,1,0.123,0.679,0.193,0.0906,0.561,144.019,199111,4,-1,1
0UdAhMKzSaernYVaWtoyTp,0.434,0.698,5,-6.643,0,0.154,0.473,1.69e-06,0.0471,0.419,88.505,219216,4,-1,1
0hVZCUZKWsWFU6i5zlRZZr,0.696,0.338,7,-8.611,1,0.037,0.888,2.85e-05,0.182,0.204,115.007,199309,4,-1,1
5NlV5HVIfgk5eHxvAGGTfy,0.72,0.316,8,-12.532,0,0.0414,0.803,0.00016,0.154,0.442,98.925,192920,4,-1,1
2pDV76DDE1NgAOueeHns3R,0.839,0.42,7,-11.375,1,0.0468,0.519,0,0.151,0.568,126.022,167619,4,-1,1
21R5MzmCwVspgN7uTh37f9,0.491,0.445,11,-11.999,1,0.384,0.925,0.000115,0.209,0.184,78.738,127603,4,-1,1
1kAkUHFb7ryeVkVSRD6Nkj,0.732,0.304,0,-13.086,0,0.111,0.747,6.13e-05,0.143,0.185,139.965,140571,4,-1,1
5D1D4CHCew0XWorrFv5jSg,0.623,0.683,7,-3.512,1,0.0437,0.0995,0,0.372,0.747,90.021,186665,4,-1,1
32kpOLJUfG9f7lqFsctRuF,0.545,0.318,8,-9.367,1,0.026,0.62,2.27e-06,0.16,0.153,95.114,209950,4,-1,1
32kpOLJUfG9f7lqFsctRuF,0.545,0.318,8,-9.367,1,0.026,0.62,2.27e-06,0.16,0.153,95.114,209950,4,-1,1
75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,223347,4,-1,1
1KsRPfyQUHXn4HpNh1A0vP,0.679,0.513,0,-10.889,1,0.041,0.299,0.315,0.113,0.137,100.024,207991,4,-1,1
779UN3kabApm2zfqX549vf,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91e-06,0.0904,0.494,129.958,218093,4,-1,1
779UN3kabApm2zfqX549vf,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91e-06,0.0904,0.494,129.958,218093,4,-1,1
4IaizE26moyyMYn70TeFiX,0.586,0.185,5,-14.343,1,0.0651,0.76,1.07e-06,0.107,0.505,186.247,148267,4,-1,1
0x9PaR4PUbcOfdzQAPZtlR,0.645,0.567,10,-11.461,1,0.0266,0.608,0.805,0.141,0.43,120.043,197500,4,-1,1
46IYlGAbGcgllTPV7I7wOO,0.744,0.359,4,-11.596,0,0.0377,0.856,0.0749,0.11,0.136,95.017,156861,4,-1,1
7FCobN8beK8RM1uiDtU9F1,0.381,0.347,7,-8.703,1,0.0282,0.7,0.017,0.116,0.167,94.924,212897,4,-1,1
2m6ikQazVLpm5XYxAy3OFz,0.692,0.5,2,-8.659,1,0.0464,0.357,5.67e-05,0.162,0.366,140.087,202987,4,-1,1
5O6QAX1oI4iktfXP8HAmgi,0.548,0.341,0,-11.667,0,0.397,0.708,0,0.121,0.34,71.573,182417,4,-1,1
