,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
0,5OtvDpNhxUde1hkAjvzSzE,0.322,0.127,7,-14.197,1,0.0352,0.894,5.99e-05,0.143,0.119,144.2,265652,4,Lennon Stella,Every Time You Go Away,https://p.scdn.co/mp3-preview/eeae104421037613df0d7edce2510cd76d2bbb7a?cid=1f08b74262ce473390052367a2428089,-1,1
1,66V40iz2mphPbYvuJVj13i,0.439,0.217,2,-13.166,1,0.0413,0.933,0,0.126,0.373,144.413,246345,4,Thomas Daniel,drivers license,https://p.scdn.co/mp3-preview/5b0fd9c61743da169f44b78cf5739b51e8653cb0?cid=1f08b74262ce473390052367a2428089,-1,1
3,1gcciAKMxnfM5wpiGmWMWe,0.547,0.0711,0,-14.833,1,0.0332,0.943,1.25e-06,0.183,0.109,104.794,228939,4,Theresa Sokyrka,Time After Time,https://p.scdn.co/mp3-preview/80e54bc9a3f1e50fd4a31ae9e6e3fe1527e247f1?cid=1f08b74262ce473390052367a2428089,-1,1
4,3U4ek9i5n2C9OXSLsuubzY,0.487,0.288,11,-11.174,1,0.0455,0.806,0,0.0804,0.426,127.89,224171,4,Jonah Baker,Mirrors - Acoustic,https://p.scdn.co/mp3-preview/d4d63e83ad88ffbe4215be8091c741449c4cd1f0?cid=1f08b74262ce473390052367a2428089,-1,1
5,7c0YUDcJreOv1OoBGf1KdH,0.425,0.249,4,-12.219,0,0.0355,0.87,0.00175,0.124,0.235,123.632,254297,4,Highland Peak,Graveyard - Acoustic,https://p.scdn.co/mp3-preview/c24955312d7d2e8115ed00a428ecd470c00d1c3c?cid=1f08b74262ce473390052367a2428089,-1,1
6,1BWNijuC93HFgEObV2RL0Y,0.299,0.229,7,-10.635,0,0.0281,0.89,0,0.129,0.147,83.413,191875,4,Julia Cooper,Alaska,https://p.scdn.co/mp3-preview/0657b071641d67ab9b17fa46fdc1aa731766fe5d?cid=1f08b74262ce473390052367a2428089,-1,1
7,3zU6Sm45Jpd3uaI8sFnT8c,0.478,0.122,6,-13.413,1,0.0354,0.817,0,0.124,0.12,135.63,235812,4,Chlara,Cannonball,https://p.scdn.co/mp3-preview/4c12e01ffd170f803f52b7fdccfdb672cba58ba5?cid=1f08b74262ce473390052367a2428089,-1,1
8,0n3E6m57nDZJDyUHllaMDp,0.591,0.175,6,-12.959,1,0.038,0.927,0,0.133,0.352,139.902,194668,4,The Mayries,Back For Good,https://p.scdn.co/mp3-preview/7a754bf6da3e5166f6af5a63b2f8f1cf37e3e762?cid=1f08b74262ce473390052367a2428089,-1,1
10,2bqjWTGDpFoG3YlRgKvqDo,0.533,0.152,2,-14.996,1,0.0302,0.79,2.46e-05,0.148,0.132,143.972,261667,4,Canyon City,Fix You,https://p.scdn.co/mp3-preview/114eccd441aa68c4c7a3a5d431af14295a25b49c?cid=1f08b74262ce473390052367a2428089,-1,1
11,1jUyxF7NmNXGlZQDVw40O8,0.657,0.192,10,-13.108,0,0.0365,0.894,0,0.157,0.305,130.087,208103,4,Clementine Duo,2U - Acoustic Version,https://p.scdn.co/mp3-preview/0706a3bbec90f92b3aeac1c68ebfe64d7000c18e?cid=1f08b74262ce473390052367a2428089,-1,1
12,3qxPacNEgVBtaOCp0v8zJw,0.346,0.44,0,-6.188,1,0.0291,0.406,0,0.229,0.191,92.674,225882,1,Keywest,Hold My Girl - Piano Acoustic,https://p.scdn.co/mp3-preview/c852ba2d4a39e2e4ccfab9bd3f3b00f70278f02b?cid=1f08b74262ce473390052367a2428089,-1,1
14,0UXRwWWIdPPpIuSyxUHv4Y,0.251,0.105,7,-16.176,1,0.032,0.895,0.000276,0.118,0.0678,80.735,178640,4,Rosie Carney,Bullet Proof ... I Wish I Was,https://p.scdn.co/mp3-preview/ae8f92d17187b5d6f37212dc54727ad951b9e749?cid=1f08b74262ce473390052367a2428089,-1,1
15,2nBrIzKacrNdIxs90FlsT1,0.494,0.214,7,-11.041,1,0.0363,0.92,1.07e-05,0.107,0.35,125.981,196819,3,Roses & Frey,Wake Me Up,https://p.scdn.co/mp3-preview/c7950d7d1e996cc7cb5723af9f48d1af75174d1e?cid=1f08b74262ce473390052367a2428089,-1,1
16,3JKLrIrHpbHtDU1oeYtbYD,0.659,0.331,10,-8.987,1,0.0321,0.807,0,0.0996,0.0876,105.01,246980,4,Boyce Avenue,Chasing Cars,https://p.scdn.co/mp3-preview/0bf25cc7e9c86fbabf41d8252046daa8cb338479?cid=1f08b74262ce473390052367a2428089,-1,1
18,2ODveYidOlM11e0JZrM1aE,0.619,0.207,8,-11.219,1,0.0312,0.855,0,0.118,0.312,72.996,166536,4,Michael Shynes,Only You,https://p.scdn.co/mp3-preview/258fc7cdf787dfef566a33322dbce466ec4f90cc?cid=1f08b74262ce473390052367a2428089,-1,1
19,2ww6vlXkh2Ntw3pZwtqnHj,0.454,0.207,11,-14.445,0,0.0382,0.891,0.0334,0.101,0.337,82.081,300187,4,M. Ward,Let's Dance,https://p.scdn.co/mp3-preview/6c2ba50a81edb31b53f64fc4c8b8b14c9af54659?cid=1f08b74262ce473390052367a2428089,-1,1
